,regla,Jaccard,Coseno,Phi,Kappa,solucion,semilla
33,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,102
34,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Rodilla,102
35,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Jaccard,119
36,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Coseno,119
37,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,119
38,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,119
39,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Rodilla,119
40,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Jaccard,136
41,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Coseno,136
42,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,136
43,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,136
44,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Rodilla,136
45,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Jaccard,153
46,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Coseno,153
47,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Phi,153
48,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Kappa,153
49,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Rodilla,153
