,regla,Jaccard,Coseno,Phi,Kappa,solucion,semilla
22,"('hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ diabetes = No ', 'age = [0, 9] ')",0.5007288629737608,0.6692201657706304,1.6366589124075088,1.6344693683735656,Mejor_Phi,68
23,"('hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ diabetes = No ', 'age = [0, 9] ')",0.5007288629737608,0.6692201657706304,1.6366589124075088,1.6344693683735656,Mejor_Kappa,68
24,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,68
25,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,85
26,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,85
27,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Phi,85
28,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Kappa,85
29,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,85
30,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,102
31,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,102
32,"('hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274,Mejor_Phi,102
33,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,102
34,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,102
35,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,119
36,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,119
37,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Phi,119
38,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,119
39,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,119
40,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,136
41,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,136
42,"('hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ diabetes = No ', 'age = [0, 9] ')",0.5007288629737608,0.6692201657706304,1.6366589124075088,1.6344693683735656,Mejor_Phi,136
43,"('hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ diabetes = No ', 'age = [0, 9] ')",0.5007288629737608,0.6692201657706304,1.6366589124075088,1.6344693683735656,Mejor_Kappa,136
44,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,136
45,"('heart_disease = No ', 'diabetes = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Jaccard,153
46,"('heart_disease = No ', 'diabetes = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Coseno,153
47,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Phi,153
48,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,153
49,"('heart_disease = No ', 'diabetes = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Rodilla,153
